instance;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j1010_10;12;21;21;1;22.307;1;0.0;21;1;17.738;1;1;0.0;0;0;1;0
j1010_2;12;38;38;1;14.557;1;0.0;38;1;11.712;1;1;0.0;0;0;1;0
j1010_3;12;38;38;1;12.777;1;0.0;38;1;10.378;1;1;0.0;0;0;1;0
j1010_4;12;26;26;1;21.56;1;0.0;26;1;17.638;1;1;0.0;0;0;1;0
j1010_5;12;39;38;1;114.773;6;-2.56;38;1;9.963;1;1;-2.56;0;0;1;0
j1010_7;12;25;25;1;300.163;1;0.0;24;1;18.127;1;1;-4.0;-1;1;0;0
j1010_8;12;18;18;1;23.06;1;0.0;18;1;14.941;1;1;0.0;0;0;1;0
j1011_1;12;36;36;1;22.854;1;0.0;36;1;1929.205;1;1;0.0;0;0;1;0
j1011_10;12;39;39;1;16.165;1;0.0;39;1;1007.173;1;1;0.0;0;0;1;0
j1011_4;12;42;42;1;15.504;1;0.0;42;1;12.16;1;1;0.0;0;0;1;0
j1011_5;12;25;25;1;22.534;1;0.0;25;1;19.646;1;1;0.0;0;0;1;0
j1011_7;12;18;18;1;29.137;1;0.0;18;1;325.939;1;1;0.0;0;0;1;0
j1011_9;12;30;30;1;13.451;1;0.0;30;1;7.607;1;1;0.0;0;0;1;0
j1012_10;12;17;16;1;294.326;9;-5.88;16;1;19.105;1;1;-5.88;0;0;1;0
j1012_2;12;29;29;1;20.666;1;0.0;29;1;81.439;1;1;0.0;0;0;1;0
j1012_4;12;32;32;1;22.917;1;0.0;32;1;365.413;1;1;0.0;0;0;1;0
j1012_5;12;21;21;1;178.559;1;0.0;21;1;514.415;1;1;0.0;0;0;1;0
j1012_6;12;39;39;1;20.696;1;0.0;39;1;10.657;1;1;0.0;0;0;1;0
j1012_8;12;33;33;1;19.005;1;0.0;33;1;12.495;1;1;0.0;0;0;1;0
j1012_9;12;38;37;1;42.017;2;-2.63;37;1;31.485;1;1;-2.63;0;0;1;0
j1013_2;12;28;28;1;41.596;1;0.0;28;1;1735.551;1;1;0.0;0;0;1;0
j1013_4;12;36;36;1;23.709;1;0.0;36;1;7.876;1;1;0.0;0;0;1;0
j1013_6;12;31;31;1;56.303;1;0.0;31;1;17.76;1;1;0.0;0;0;1;0
j1014_1;12;22;22;1;60.819;1;0.0;22;1;2148.143;1;1;0.0;0;0;1;0
j1014_2;12;26;26;1;90.346;1;0.0;26;1;1464.374;1;1;0.0;0;0;1;0
j1014_4;12;30;30;1;28.771;1;0.0;30;1;8.567;1;1;0.0;0;0;1;0
j1014_5;12;34;34;1;46.177;1;0.0;34;1;14.479;1;1;0.0;0;0;1;0
j1014_6;12;23;23;1;31.157;1;0.0;23;1;9.398;1;1;0.0;0;0;1;0
j1014_8;12;33;33;1;300.263;1;0.0;33;1;1904.146;1;1;0.0;0;0;1;0
j1014_9;12;33;33;1;64.575;1;0.0;33;1;17.097;1;1;0.0;0;0;1;0
j1015_2;12;44;44;1;31.446;1;0.0;44;1;10.238;1;1;0.0;0;0;1;0
j102_2;12;25;24;1;175.672;2;-4.0;24;1;25.971;1;1;-4.0;0;0;1;0
j102_4;12;27;25;1;87.559;2;-7.41;25;1;604.043;1;1;-7.41;0;0;1;0
j102_5;12;28;20;1;561.656;8;-28.57;20;1;22.911;1;1;-28.57;0;0;1;0
j102_7;12;62;39;1;1740.987;11;-37.1;62;1;1025.746;1;1;0.0;23;0;0;1
j103_5;12;29;23;1;533.849;7;-20.69;23;1;1199.591;1;1;-20.69;0;0;1;0
j103_6;12;34;34;1;22.755;1;0.0;34;1;7.441;1;1;0.0;0;0;1;0
j103_8;12;39;30;1;299.437;10;-23.08;30;1;12.906;1;1;-23.08;0;0;1;0
j104_1;12;41;41;1;17.843;1;0.0;41;1;7.744;1;1;0.0;0;0;1;0
j104_5;12;34;33;1;53.74;1;-2.94;33;1;13.179;1;1;-2.94;0;0;1;0
j104_9;12;26;26;1;23.837;1;0.0;26;1;9.111;1;1;0.0;0;0;1;0
j105_10;12;22;22;1;30.809;1;0.0;22;1;12.031;1;1;0.0;0;0;1;0
j105_3;12;26;26;1;14.657;1;0.0;26;1;7.885;1;1;0.0;0;0;1;0
j105_4;12;21;20;1;302.01;4;-4.76;20;1;27.334;1;1;-4.76;0;0;1;0
j106_3;12;41;41;1;29.318;1;0.0;41;1;11.026;1;1;0.0;0;0;1;0
j106_7;12;25;25;1;16.459;1;0.0;25;1;8.186;1;1;0.0;0;0;1;0
j107_5;12;39;36;1;418.12;7;-7.69;36;1;52.331;1;1;-7.69;0;0;1;0
j107_9;12;33;33;1;22.402;1;0.0;33;1;10.566;1;1;0.0;0;0;1;0
j108_6;12;28;21;1;443.147;4;-25.0;21;1;52.959;1;1;-25.0;0;0;1;0
j108_8;12;21;20;1;81.162;2;-4.76;20;1;37.855;1;1;-4.76;0;0;1;0
