instance;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j1010_10;12;24;22;1;39.574;2;-8.33;22;1;11.25;1;1;-8.33;0;0;1;0
j1010_2;12;38;38;1;6.954;1;0.0;38;1;6.878;1;1;0.0;0;0;1;0
j1010_3;12;39;39;1;6.793;1;0.0;39;1;6.575;1;1;0.0;0;0;1;0
j1010_4;12;28;28;1;11.596;1;0.0;28;1;9.61;1;1;0.0;0;0;1;0
j1010_5;12;42;37;1;41.066;3;-11.9;37;1;10.253;1;1;-11.9;0;0;1;0
j1010_7;12;25;24;1;27.45;1;-4.0;24;1;21.215;1;1;-4.0;0;0;1;0
j1010_8;12;20;17;1;446.015;10;-15.0;17;1;73.802;1;1;-15.0;0;0;1;0
j1011_1;12;36;36;1;10.963;1;0.0;36;1;8.957;1;1;0.0;0;0;1;0
j1011_10;12;40;40;1;8.712;1;0.0;40;1;5.652;1;1;0.0;0;0;1;0
j1011_4;12;42;42;1;8.472;1;0.0;42;1;6.241;1;1;0.0;0;0;1;0
j1011_5;12;27;25;1;108.098;7;-7.41;25;1;30.368;1;1;-7.41;0;0;1;0
j1011_7;12;23;18;1;173.817;7;-21.74;18;1;17.831;1;1;-21.74;0;0;1;0
j1011_9;12;30;30;1;7.558;1;0.0;30;1;6.066;1;1;0.0;0;0;1;0
j1012_10;12;17;16;1;98.045;5;-5.88;16;1;34.486;1;1;-5.88;0;0;1;0
j1012_2;12;26;26;1;85.137;9;0.0;26;1;15.092;1;1;0.0;0;0;1;0
j1012_4;12;29;28;1;136.159;5;-3.45;28;1;33.64;1;1;-3.45;0;0;1;0
j1012_5;12;21;18;1;96.661;2;-14.29;18;1;62.387;1;1;-14.29;0;0;1;0
j1012_6;12;43;40;1;135.019;8;-6.98;40;1;16.711;1;1;-6.98;0;0;1;0
j1012_8;12;35;35;1;8.952;1;0.0;35;1;7.919;1;1;0.0;0;0;1;0
j1012_9;12;38;38;1;10.114;1;0.0;38;1;8.54;1;1;0.0;0;0;1;0
j1013_2;12;30;30;1;15.59;1;0.0;30;1;11.902;1;1;0.0;0;0;1;0
j1013_4;12;38;31;1;134.613;11;-18.42;31;1;26.654;1;1;-18.42;0;0;1;0
j1013_6;12;33;33;1;18.425;1;0.0;33;1;11.417;1;1;0.0;0;0;1;0
j1014_1;12;23;23;1;17.032;1;0.0;23;1;12.244;1;1;0.0;0;0;1;0
j1014_2;12;24;24;1;20.668;1;0.0;24;1;15.566;1;1;0.0;0;0;1;0
j1014_4;12;32;31;1;190.218;5;-3.12;31;1;22.233;1;1;-3.12;0;0;1;0
j1014_5;12;36;36;1;15.777;1;0.0;36;1;12.717;1;1;0.0;0;0;1;0
j1014_6;12;30;23;1;295.97;10;-23.33;23;1;237.359;1;1;-23.33;0;0;1;0
j1014_8;12;33;33;1;15.97;1;0.0;33;1;13.203;1;1;0.0;0;0;1;0
j1014_9;12;37;37;1;20.836;1;0.0;37;1;15.761;1;1;0.0;0;0;1;0
j1015_2;12;50;45;1;53.384;3;-10.0;45;1;16.317;1;1;-10.0;0;0;1;0
j102_2;12;28;24;1;32.888;2;-14.29;24;1;46.925;1;1;-14.29;0;0;1;0
j102_4;12;28;27;1;1105.353;11;-3.57;27;1;300.081;1;1;-3.57;0;0;1;0
j102_5;12;36;21;1;447.192;10;-41.67;21;1;29.459;1;1;-41.67;0;0;1;0
j102_7;12;47;41;1;1487.789;11;-12.77;47;1;308.217;1;1;0.0;6;0;0;1
j103_5;12;25;25;1;16.56;1;0.0;25;1;13.14;1;1;0.0;0;0;1;0
j103_6;12;33;32;1;62.507;1;-3.03;32;1;12.8;1;1;-3.03;0;0;1;0
j103_8;12;44;29;1;337.218;10;-34.09;29;1;18.917;1;1;-34.09;0;0;1;0
j104_1;12;51;40;1;270.334;11;-21.57;40;1;68.099;1;1;-21.57;0;0;1;0
j104_5;12;35;32;0;3840.347;7;-8.57;32;1;299.72;1;1;-8.57;0;0;1;0
j104_9;12;26;26;0;3470.731;11;0.0;26;1;30.85;1;1;0.0;0;0;1;0
j105_10;12;25;25;0;3968.594;4;0.0;24;1;78.918;1;1;-4.0;-1;1;0;0
j105_3;12;27;27;1;2073.902;2;0.0;22;1;111.24;1;1;-18.52;-5;1;0;0
j105_4;12;37;37;0;3974.779;4;0.0;21;1;277.077;1;1;-43.24;-16;1;0;0
j106_3;12;41;41;1;1955.945;2;0.0;41;1;13.019;1;1;0.0;0;0;1;0
j106_7;12;32;26;0;4309.957;7;-18.75;26;1;83.685;1;1;-18.75;0;0;1;0
j107_5;12;36;36;0;4051.114;17;0.0;33;1;350.679;1;1;-8.33;-3;1;0;0
j107_9;12;31;31;0;3782.924;4;0.0;31;1;298.896;1;1;0.0;0;0;1;0
j108_6;12;21;21;1;14.14;1;0.0;21;1;10.878;1;1;0.0;0;0;1;0
j108_8;12;28;19;1;2346.381;12;-32.14;19;1;300.109;1;1;-32.14;0;0;1;0
