instance;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j1010_10;12;23;23;1;11.654;1;0.0;23;1;25.233;1;1;0.0;0;0;1;0
j1010_2;12;42;40;1;60.443;3;-4.76;40;1;15.301;1;1;-4.76;0;0;1;0
j1010_3;12;36;36;1;156.349;1;0.0;36;1;69.777;1;1;0.0;0;0;1;0
j1010_4;12;27;26;1;341.778;10;-3.7;26;1;35.999;1;1;-3.7;0;0;1;0
j1010_5;12;41;39;1;285.892;10;-4.88;39;1;20.755;1;1;-4.88;0;0;1;0
j1010_7;12;22;22;1;40.103;1;0.0;22;1;28.159;1;1;0.0;0;0;1;0
j1010_8;12;18;17;1;63.344;2;-5.56;17;1;32.948;1;1;-5.56;0;0;1;0
j1011_1;12;34;34;1;34.399;1;0.0;34;1;30.978;1;1;0.0;0;0;1;0
j1011_10;12;35;35;1;18.196;1;0.0;35;1;15.696;1;1;0.0;0;0;1;0
j1011_4;12;40;40;1;14.812;1;0.0;40;1;15.038;1;1;0.0;0;0;1;0
j1011_5;12;26;26;1;27.087;1;0.0;26;1;21.459;1;1;0.0;0;0;1;0
j1011_7;12;17;17;1;134.731;1;0.0;17;1;148.133;1;1;0.0;0;0;1;0
j1011_9;12;26;26;1;16.211;1;0.0;26;1;10.843;1;1;0.0;0;0;1;0
j1012_10;12;16;14;1;893.029;11;-12.5;14;1;90.803;1;1;-12.5;0;0;1;0
j1012_2;12;29;29;1;31.534;1;0.0;29;1;22.555;1;1;0.0;0;0;1;0
j1012_4;12;31;31;1;26.964;1;0.0;31;1;32.644;1;1;0.0;0;0;1;0
j1012_5;12;20;19;1;518.418;9;-5.0;19;1;77.954;1;1;-5.0;0;0;1;0
j1012_6;12;40;40;1;15.582;1;0.0;40;1;20.763;1;1;0.0;0;0;1;0
j1012_8;12;34;34;1;28.023;1;0.0;34;1;22.986;1;1;0.0;0;0;1;0
j1012_9;12;41;41;1;43.263;1;0.0;41;1;54.554;1;1;0.0;0;0;1;0
j1013_2;12;30;30;1;19.746;1;0.0;30;1;24.073;1;1;0.0;0;0;1;0
j1013_4;12;34;34;1;12.518;1;0.0;34;1;14.702;1;1;0.0;0;0;1;0
j1013_6;12;32;31;1;196.198;4;-3.12;31;1;35.276;1;1;-3.12;0;0;1;0
j1014_1;12;22;22;1;23.508;1;0.0;22;1;26.758;1;1;0.0;0;0;1;0
j1014_2;12;24;24;1;42.883;1;0.0;24;1;27.554;1;1;0.0;0;0;1;0
j1014_4;12;29;28;1;81.647;4;-3.45;28;1;13.298;1;1;-3.45;0;0;1;0
j1014_5;12;33;33;1;29.894;1;0.0;33;1;16.871;1;1;0.0;0;0;1;0
j1014_6;12;23;21;1;364.904;11;-8.7;21;1;47.29;1;1;-8.7;0;0;1;0
j1014_8;12;30;30;1;26.496;1;0.0;30;1;23.072;1;1;0.0;0;0;1;0
j1014_9;12;34;34;1;23.143;1;0.0;34;1;20.436;1;1;0.0;0;0;1;0
j1015_2;12;43;42;1;63.817;3;-2.33;42;1;17.158;1;1;-2.33;0;0;1;0
j102_2;12;23;22;1;67.541;2;-4.35;22;1;25.741;1;1;-4.35;0;0;1;0
j102_4;12;26;26;1;14.719;1;0.0;26;1;17.08;1;1;0.0;0;0;1;0
j102_5;12;19;19;1;17.515;1;0.0;19;1;23.144;1;1;0.0;0;0;1;0
j102_7;12;39;39;1;18.724;1;0.0;39;1;23.489;1;1;0.0;0;0;1;0
j103_5;12;21;21;1;29.054;1;0.0;21;1;38.34;1;1;0.0;0;0;1;0
j103_6;12;34;33;1;137.545;4;-2.94;33;1;38.507;1;1;-2.94;0;0;1;0
j103_8;12;29;29;1;29.775;1;0.0;29;1;22.138;1;1;0.0;0;0;1;0
j104_1;12;39;39;1;27.343;1;0.0;39;1;25.839;1;1;0.0;0;0;1;0
j104_5;12;34;34;1;37.346;1;0.0;34;1;24.399;1;1;0.0;0;0;1;0
j104_9;12;25;25;1;27.496;1;0.0;25;1;29.209;1;1;0.0;0;0;1;0
j105_10;12;25;24;1;289.747;8;-4.0;24;1;24.106;1;1;-4.0;0;0;1;0
j105_3;12;25;21;1;429.561;11;-16.0;21;1;115.466;1;1;-16.0;0;0;1;0
j105_4;12;20;19;1;171.749;7;-5.0;19;1;25.716;1;1;-5.0;0;0;1;0
j106_3;12;42;42;1;21.292;1;0.0;42;1;32.697;1;1;0.0;0;0;1;0
j106_7;12;24;24;1;17.517;1;0.0;24;1;20.963;1;1;0.0;0;0;1;0
j107_5;12;34;33;1;170.887;3;-2.94;33;1;31.089;1;1;-2.94;0;0;1;0
j107_9;12;33;33;1;54.579;1;0.0;33;1;26.728;1;1;0.0;0;0;1;0
j108_6;12;21;19;1;386.918;11;-9.52;19;1;45.968;1;1;-9.52;0;0;1;0
j108_8;12;18;18;1;30.881;1;0.0;18;1;21.519;1;1;0.0;0;0;1;0
