instance;k;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j3011_8;1;32;109;109;1;56.861;1;0.0;109;1;54.253;1;1;0.0;0;0;1;0
j3015_2;1;32;83;83;0;3037.524;61;0.0;83;1;413.029;4;4;0.0;0;0;1;0
j3016_2;1;32;83;83;0;1829.987;64;0.0;83;0;773.464;9;9;0.0;0;0;1;0
j3017_1;1;32;81;81;1;56.526;1;0.0;81;1;49.278;1;1;0.0;0;0;1;0
j3017_10;1;32;121;121;1;55.682;1;0.0;121;1;58.053;1;1;0.0;0;0;1;0
j3017_5;1;32;61;61;1;60.153;1;0.0;61;1;60.14;1;1;0.0;0;0;1;0
j3019_7;1;32;99;99;1;41.925;1;0.0;99;1;40.144;1;1;0.0;0;0;1;0
j301_1;1;32;70;70;1;43.065;1;0.0;70;1;37.203;1;1;0.0;0;0;1;0
j301_2;1;32;76;76;1;43.318;1;0.0;76;1;40.073;1;1;0.0;0;0;1;0
j301_6;1;32;69;69;1;33.857;1;0.0;69;1;60.129;1;1;0.0;0;0;1;0
j301_7;1;32;109;109;1;32.075;1;0.0;109;1;28.89;1;1;0.0;0;0;1;0
j301_9;1;32;77;77;1;43.256;1;0.0;77;1;38.555;1;1;0.0;0;0;1;0
j3024_8;1;32;69;69;0;891.008;64;0.0;69;0;172.366;5;5;0.0;0;0;1;0
j3026_10;1;32;84;84;1;45.142;1;0.0;84;1;39.469;1;1;0.0;0;0;1;0
j3027_1;1;32;75;75;1;33.778;1;0.0;75;1;31.147;1;1;0.0;0;0;1;0
j3028_2;1;32;99;99;1;47.53;1;0.0;99;1;47.993;1;1;0.0;0;0;1;0
j3029_1;1;32;130;130;1;60.314;1;0.0;130;1;60.189;1;1;0.0;0;0;1;0
j302_4;1;32;76;76;1;45.052;1;0.0;76;1;39.624;1;1;0.0;0;0;1;0
j3030_8;1;32;73;73;0;514.366;64;0.0;73;0;136.754;4;4;0.0;0;0;1;0
j3030_9;1;32;79;79;1;60.343;1;0.0;77;1;54.355;1;1;-2.53;-2;1;0;0
j3031_1;1;32;74;74;0;2448.073;61;0.0;74;0;444.136;4;4;0.0;0;0;1;0
j3033_10;1;32;88;88;1;44.659;1;0.0;88;1;46.681;1;1;0.0;0;0;1;0
j3033_8;1;32;88;88;1;35.048;1;0.0;88;1;35.656;1;1;0.0;0;0;1;0
j3036_10;1;32;105;105;1;40.329;1;0.0;105;1;36.493;1;1;0.0;0;0;1;0
j3036_9;1;32;108;108;1;46.644;1;0.0;108;1;46.875;1;1;0.0;0;0;1;0
j3038_3;1;32;95;95;1;32.137;1;0.0;95;1;29.494;1;1;0.0;0;0;1;0
j3038_5;1;32;118;118;1;47.452;1;0.0;118;1;46.553;1;1;0.0;0;0;1;0
j3039_6;1;32;107;107;1;47.567;1;0.0;107;1;55.647;1;1;0.0;0;0;1;0
j3040_10;1;32;95;95;1;48.271;1;0.0;95;1;48.125;1;1;0.0;0;0;1;0
j3043_1;1;32;94;93;1;77.378;2;-1.06;94;1;60.205;1;1;0.0;1;0;0;1
j3043_5;1;32;108;108;1;48.37;1;0.0;108;1;48.47;1;1;0.0;0;0;1;0
j3044_6;1;32;98;98;0;820.694;64;0.0;98;0;114.73;3;3;0.0;0;0;1;0
j3045_5;1;32;119;119;0;2440.163;64;0.0;119;0;147.334;2;2;0.0;0;0;1;0
j3045_8;1;32;121;117;1;772.852;21;-3.31;117;1;37.85;1;1;-3.31;0;0;1;0
j3046_2;1;32;118;117;0;2941.846;56;-0.85;117;1;45.238;1;1;-0.85;0;0;1;0
j3046_4;1;32;108;108;1;60.277;1;0.0;107;1;48.586;1;1;-0.93;-1;1;0;0
j3046_5;1;32;100;100;1;56.359;1;0.0;100;1;57.736;1;1;0.0;0;0;1;0
j3046_6;1;32;96;96;1;39.233;1;0.0;96;1;41.088;1;1;0.0;0;0;1;0
j3046_7;1;32;88;88;0;1491.17;64;0.0;88;0;186.213;4;4;0.0;0;0;1;0
j3047_10;1;32;99;99;1;60.175;1;0.0;99;1;60.359;1;1;0.0;0;0;1;0
j3047_9;1;32;115;115;0;1328.937;64;0.0;115;0;138.269;2;2;0.0;0;0;1;0
j3048_6;1;32;100;100;0;823.723;64;0.0;100;0;230.082;9;9;0.0;0;0;1;0
j3048_8;1;32;79;77;0;2015.373;56;-2.53;77;1;60.199;1;1;-2.53;0;0;1;0
j304_10;1;32;88;88;1;40.946;1;0.0;88;1;42.169;1;1;0.0;0;0;1;0
j305_8;1;32;98;98;0;2183.98;49;0.0;98;1;278.429;3;3;0.0;0;0;1;0
j307_10;1;32;79;79;0;353.116;64;0.0;79;0;142.116;3;3;0.0;0;0;1;0
j307_7;1;32;90;90;1;60.193;1;0.0;88;1;47.189;1;1;-2.22;-2;1;0;0
j308_1;1;32;78;78;1;32.603;1;0.0;78;1;34.35;1;1;0.0;0;0;1;0
j309_2;1;32;100;100;1;60.28;1;0.0;80;1;59.885;1;1;-20.0;-20;1;0;0
j309_5;1;32;96;96;0;1537.447;64;0.0;96;0;98.158;2;2;0.0;0;0;1;0
