instance;k;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j3010_1;2;32;75;75;1;60.321;1;0.0;75;1;60.339;1;1;0.0;0;0;1;0
j3011_1;2;32;96;96;1;60.285;1;0.0;96;1;60.734;1;1;0.0;0;0;1;0
j3011_3;2;32;145;145;0;1925.019;64;0.0;145;0;433.71;6;6;0.0;0;0;1;0
j3011_6;2;32;79;79;0;2095.935;64;0.0;79;0;610.993;7;7;0.0;0;0;1;0
j3013_1;2;32;103;103;0;2947.292;64;0.0;103;0;505.037;6;6;0.0;0;0;1;0
j3015_1;2;32;79;79;1;60.331;1;0.0;79;1;60.262;1;1;0.0;0;0;1;0
j3015_5;2;32;104;104;0;3556.033;59;0.0;104;0;1348.608;11;11;0.0;0;0;1;0
j3015_8;2;32;84;84;0;1024.14;64;0.0;84;0;283.836;7;7;0.0;0;0;1;0
j3018_8;2;32;88;88;1;60.319;1;0.0;86;1;60.289;1;1;-2.27;-2;1;0;0
j3018_9;2;32;77;77;1;46.619;1;0.0;77;1;43.72;1;1;0.0;0;0;1;0
j3019_3;2;32;150;150;1;60.43;1;0.0;150;1;60.415;1;1;0.0;0;0;1;0
j3019_5;2;32;89;89;1;60.439;1;0.0;89;1;56.096;1;1;0.0;0;0;1;0
j3019_7;2;32;98;98;1;60.218;1;0.0;98;1;60.292;1;1;0.0;0;0;1;0
j301_9;2;32;79;79;1;50.857;1;0.0;79;1;52.615;1;1;0.0;0;0;1;0
j3020_1;2;32;105;105;1;60.484;1;0.0;105;1;60.295;1;1;0.0;0;0;1;0
j3020_10;2;32;66;66;1;41.367;1;0.0;66;1;38.912;1;1;0.0;0;0;1;0
j3020_5;2;32;112;112;1;38.724;1;0.0;112;1;39.108;1;1;0.0;0;0;1;0
j3021_2;2;32;91;91;1;60.486;1;0.0;91;1;60.361;1;1;0.0;0;0;1;0
j3024_8;2;32;65;65;1;60.243;1;0.0;65;1;60.249;1;1;0.0;0;0;1;0
j3025_1;2;32;139;139;0;3564.37;62;0.0;139;0;1076.959;9;9;0.0;0;0;1;0
j3025_3;2;32;112;112;1;60.469;1;0.0;112;1;60.34;1;1;0.0;0;0;1;0
j3025_5;2;32;111;111;0;2871.139;64;0.0;111;0;653.124;7;7;0.0;0;0;1;0
j3026_8;2;32;118;118;1;60.243;1;0.0;118;1;60.257;1;1;0.0;0;0;1;0
j3027_6;2;32;109;109;1;60.35;1;0.0;109;1;60.344;1;1;0.0;0;0;1;0
j3029_5;2;32;155;155;1;60.443;1;0.0;155;1;62.559;1;1;0.0;0;0;1;0
j302_2;2;32;82;82;1;60.385;1;0.0;82;1;60.367;1;1;0.0;0;0;1;0
j3031_8;2;32;105;105;1;60.34;1;0.0;105;1;60.362;1;1;0.0;0;0;1;0
j3031_9;2;32;83;83;0;1990.841;64;0.0;83;0;146.967;2;2;0.0;0;0;1;0
j3034_8;2;32;92;92;1;60.242;1;0.0;92;1;60.232;1;1;0.0;0;0;1;0
j3034_9;2;32;108;108;1;43.286;1;0.0;108;1;32.981;1;1;0.0;0;0;1;0
j3036_5;2;32;117;117;1;48.757;1;0.0;117;1;43.046;1;1;0.0;0;0;1;0
j3038_1;2;32;83;83;0;2745.905;64;0.0;83;0;347.19;3;3;0.0;0;0;1;0
j3039_2;2;32;95;95;1;60.485;1;0.0;95;1;60.257;1;1;0.0;0;0;1;0
j3039_3;2;32;101;101;0;2485.046;64;0.0;101;1;60.53;1;1;0.0;0;0;1;0
j3039_7;2;32;86;86;0;1025.455;38;0.0;86;1;34.821;1;1;0.0;0;0;1;0
j3041_10;2;32;144;144;1;62.163;1;0.0;144;1;60.311;1;1;0.0;0;0;1;0
j3041_3;2;32;111;111;1;60.308;1;0.0;111;1;60.336;1;1;0.0;0;0;1;0
j3042_4;2;32;79;79;1;60.238;1;0.0;79;1;60.178;1;1;0.0;0;0;1;0
j3043_1;2;32;96;96;1;60.33;1;0.0;96;1;60.37;1;1;0.0;0;0;1;0
j3044_5;2;32;100;100;1;60.702;1;0.0;100;1;60.94;1;1;0.0;0;0;1;0
j3045_6;2;32;166;166;0;3552.889;59;0.0;166;0;334.789;3;3;0.0;0;0;1;0
j3046_4;2;32;107;107;1;60.601;1;0.0;107;1;60.318;1;1;0.0;0;0;1;0
j3047_10;2;32;105;105;1;61.138;1;0.0;105;1;60.41;1;1;0.0;0;0;1;0
j304_1;2;32;87;86;1;898.887;19;-1.15;86;1;51.891;1;1;-1.15;0;0;1;0
j305_1;2;32;79;79;1;60.629;1;0.0;79;1;60.99;1;1;0.0;0;0;1;0
j305_6;2;32;96;96;1;60.304;1;0.0;96;1;60.321;1;1;0.0;0;0;1;0
j305_8;2;32;99;99;1;60.321;1;0.0;99;1;60.31;1;1;0.0;0;0;1;0
j307_7;2;32;90;90;1;60.302;1;0.0;90;1;60.429;1;1;0.0;0;0;1;0
j308_4;2;32;86;86;1;60.504;1;0.0;86;1;60.301;1;1;0.0;0;0;1;0
j309_5;2;32;99;99;1;60.679;1;0.0;99;1;60.182;1;1;0.0;0;0;1;0
