instance;k;n_jobs;ssgs_obj;base_obj;base_feasible;base_runtime_sec;base_iters;base_gap_vs_ssgs_pct;grp_obj;grp_feasible;grp_runtime_sec;grp_iters;grp_n_groups;grp_gap_vs_ssgs_pct;makespan_diff;grp_better;same;base_better
j3010_1;3;32;73;73;1;243.053;4;0.0;73;1;61.689;1;1;0.0;0;0;1;0
j3011_10;3;32;73;73;1;60.426;1;0.0;73;1;60.367;1;1;0.0;0;0;1;0
j3011_9;3;32;120;120;1;60.387;1;0.0;120;1;60.475;1;1;0.0;0;0;1;0
j3012_1;3;32;87;87;1;2055.869;34;0.0;87;1;63.209;1;1;0.0;0;0;1;0
j3012_4;3;32;111;111;0;3525.66;57;0.0;111;0;621.438;5;5;0.0;0;0;1;0
j3012_7;3;32;98;98;0;3533.478;57;0.0;98;0;654.872;5;5;0.0;0;0;1;0
j3012_8;3;32;63;63;1;242.332;4;0.0;63;1;61.256;1;1;0.0;0;0;1;0
j3014_3;3;32;106;106;0;3550.118;58;0.0;106;0;1237.996;10;10;0.0;0;0;1;0
j3014_4;3;32;84;84;0;3558.704;63;0.0;84;0;569.551;5;5;0.0;0;0;1;0
j3015_2;3;32;88;88;0;3546.162;60;0.0;88;0;365.495;3;3;0.0;0;0;1;0
j3017_1;3;32;98;98;1;60.349;1;0.0;98;1;60.305;1;1;0.0;0;0;1;0
j3017_4;3;32;76;76;1;37.709;1;0.0;76;1;35.921;1;1;0.0;0;0;1;0
j3017_9;3;32;80;79;1;2162.907;44;-1.25;79;1;58.232;1;1;-1.25;0;0;1;0
j3019_1;3;32;69;69;1;45.276;1;0.0;69;1;39.172;1;1;0.0;0;0;1;0
j3019_10;3;32;80;80;1;60.361;1;0.0;80;1;60.247;1;1;0.0;0;0;1;0
j301_10;3;32;86;86;1;60.36;1;0.0;86;1;60.373;1;1;0.0;0;0;1;0
j301_4;3;32;104;104;1;60.367;1;0.0;104;1;60.357;1;1;0.0;0;0;1;0
j301_5;3;32;57;57;1;32.246;1;0.0;57;1;29.529;1;1;0.0;0;0;1;0
j301_8;3;32;99;99;1;56.183;1;0.0;99;1;48.807;1;1;0.0;0;0;1;0
j3022_4;3;32;73;73;0;3549.941;61;0.0;73;0;328.75;3;3;0.0;0;0;1;0
j3023_3;3;32;83;83;0;3560.517;63;0.0;83;1;718.257;6;6;0.0;0;0;1;0
j3024_3;3;32;126;126;0;3528.785;56;0.0;126;0;619.297;5;5;0.0;0;0;1;0
j3026_1;3;32;110;110;1;60.302;1;0.0;110;1;60.325;1;1;0.0;0;0;1;0
j3028_4;3;32;89;89;1;60.473;1;0.0;89;1;60.353;1;1;0.0;0;0;1;0
j3028_6;3;32;98;98;1;60.405;1;0.0;98;1;60.412;1;1;0.0;0;0;1;0
j3029_9;3;32;175;175;0;3550.293;58;0.0;175;0;614.129;5;5;0.0;0;0;1;0
j302_3;3;32;77;77;1;60.311;1;0.0;77;1;60.326;1;1;0.0;0;0;1;0
j302_8;3;32;90;90;1;60.715;1;0.0;90;1;60.385;1;1;0.0;0;0;1;0
j3030_7;3;32;119;119;0;3533.566;56;0.0;119;0;1256.056;10;10;0.0;0;0;1;0
j3031_4;3;32;91;91;0;3557.827;63;0.0;91;0;629.58;6;6;0.0;0;0;1;0
j3032_3;3;32;99;99;0;3542.651;57;0.0;99;0;1246.41;10;10;0.0;0;0;1;0
j3033_9;3;32;103;103;1;61.265;1;0.0;103;1;60.38;1;1;0.0;0;0;1;0
j3034_9;3;32;107;107;1;51.107;1;0.0;107;1;40.84;1;1;0.0;0;0;1;0
j3036_3;3;32;109;109;1;56.079;1;0.0;109;1;40.29;1;1;0.0;0;0;1;0
j3039_6;3;32;113;113;1;241.524;4;0.0;113;1;60.369;1;1;0.0;0;0;1;0
j3039_7;3;32;98;98;1;60.287;1;0.0;98;1;60.216;1;1;0.0;0;0;1;0
j3041_3;3;32;139;139;0;3483.347;64;0.0;139;0;425.308;4;4;0.0;0;0;1;0
j3042_1;3;32;107;107;0;2719.482;64;0.0;107;0;328.279;5;5;0.0;0;0;1;0
j3042_10;3;32;138;138;1;1029.667;17;0.0;138;1;60.541;1;1;0.0;0;0;1;0
j3042_4;3;32;81;81;1;60.293;1;0.0;81;1;60.463;1;1;0.0;0;0;1;0
j3043_6;3;32;98;98;1;60.394;1;0.0;98;1;60.335;1;1;0.0;0;0;1;0
j3043_7;3;32;94;94;0;3547.799;58;0.0;94;0;491.063;4;4;0.0;0;0;1;0
j3045_3;3;32;145;145;0;3544.004;57;0.0;145;0;487.77;4;4;0.0;0;0;1;0
j3045_7;3;32;164;164;0;3546.111;58;0.0;164;0;439.63;4;4;0.0;0;0;1;0
j3045_9;3;32;144;144;0;3391.433;64;0.0;144;0;1009.748;11;11;0.0;0;0;1;0
j3046_7;3;32;92;92;0;3560.974;59;0.0;92;0;616.813;6;6;0.0;0;0;1;0
j3048_3;3;32;94;94;1;121.727;2;0.0;94;1;60.571;1;1;0.0;0;0;1;0
j305_8;3;32;121;121;1;123.729;2;0.0;121;1;60.822;1;1;0.0;0;0;1;0
j306_8;3;32;68;68;1;61.381;1;0.0;68;1;60.39;1;1;0.0;0;0;1;0
j307_10;3;32;80;80;1;60.458;1;0.0;80;1;60.507;1;1;0.0;0;0;1;0
