method;k;alpha;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
pergroup_kmd;1;10;j12010_1;122;667;67;200;200;1;129.72;160.25;0.0
pergroup_kmd;1;10;j12010_10;122;641;65;116;110;1;9.84;33.63;-5.17
pergroup_kmd;1;10;j12010_2;122;647;65;166;160;1;11.89;38.36;-3.61
pergroup_kmd;1;10;j12010_3;122;719;72;178;170;1;63.71;95.1;-4.49
pergroup_kmd;1;10;j12010_4;122;679;68;173;170;1;10.75;37.33;-1.73
pergroup_kmd;1;10;j12010_5;122;638;64;171;170;1;10.02;34.77;-0.58
pergroup_kmd;1;10;j12010_6;122;635;64;165;160;1;49.54;79.55;-3.03
pergroup_kmd;1;10;j12010_7;122;718;72;138;130;1;131.8;171.25;-5.8
pergroup_kmd;1;10;j12010_8;122;717;72;201;220;1;375.99;431.89;9.45
pergroup_kmd;1;10;j12010_9;122;655;66;134;130;1;132.05;167.74;-2.99
pergroup_kmd;1;10;j12011_1;122;632;64;241;190;1;130.87;167.56;-21.16
pergroup_kmd;1;10;j12011_10;122;660;66;262;150;1;250.6;311.86;-42.75
pergroup_kmd;1;10;j12011_2;122;580;58;240;130;1;128.43;160.26;-45.83
pergroup_kmd;1;10;j12011_3;122;675;68;307;190;1;135.91;175.1;-38.11
pergroup_kmd;1;10;j12011_4;122;666;67;291;170;1;252.0;300.4;-41.58
pergroup_kmd;1;10;j12011_5;122;681;69;320;190;1;33.39;65.56;-40.62
pergroup_kmd;1;10;j12011_6;122;684;69;307;160;1;184.36;227.65;-47.88
pergroup_kmd;1;10;j12011_7;122;581;59;234;140;1;252.99;296.28;-40.17
pergroup_kmd;1;10;j12011_8;122;651;66;249;160;1;132.3;171.57;-35.74
pergroup_kmd;1;10;j12011_9;122;648;65;250;160;1;133.64;179.28;-36.0
pergroup_kmd;1;10;j12012_1;122;607;61;203;160;1;10.92;38.66;-21.18
pergroup_kmd;1;10;j12012_10;122;704;71;205;150;1;20.87;55.84;-26.83
pergroup_kmd;1;10;j12012_2;122;627;63;182;150;1;12.11;41.97;-17.58
pergroup_kmd;1;10;j12012_3;122;647;65;217;190;1;250.32;295.49;-12.44
pergroup_kmd;1;10;j12012_4;122;632;64;226;190;1;370.27;420.64;-15.93
pergroup_kmd;1;10;j12012_5;122;728;73;251;170;1;19.79;55.51;-32.27
pergroup_kmd;1;10;j12012_6;122;662;67;200;170;1;252.03;300.0;-15.0
pergroup_kmd;1;10;j12012_7;122;681;69;196;150;1;252.15;304.54;-23.47
pergroup_kmd;1;10;j12012_8;122;689;69;195;160;1;131.5;175.31;-17.95
pergroup_kmd;1;10;j12012_9;122;605;61;172;180;1;63.22;92.83;4.65
pergroup_kmd;1;10;j12013_1;122;688;69;233;280;0;531.85;635.68;20.17
pergroup_kmd;1;10;j12013_10;122;691;70;153;160;1;133.7;180.0;4.58
pergroup_kmd;1;10;j12013_2;122;635;64;145;150;1;131.89;169.43;3.45
pergroup_kmd;1;10;j12013_3;122;682;69;204;200;1;132.33;175.84;-1.96
pergroup_kmd;1;10;j12013_4;122;678;68;186;170;1;132.07;175.48;-8.6
pergroup_kmd;1;10;j12013_5;122;650;65;157;130;1;33.19;66.59;-17.2
pergroup_kmd;1;10;j12013_6;122;628;63;170;150;1;11.24;40.5;-11.76
pergroup_kmd;1;10;j12013_7;122;679;68;200;190;1;133.76;178.72;-5.0
pergroup_kmd;1;10;j12013_8;122;678;68;173;150;1;133.69;184.14;-13.29
pergroup_kmd;1;10;j12013_9;122;622;63;149;130;1;12.31;43.63;-12.75
pergroup_kmd;1;10;j12014_1;122;715;72;157;140;1;20.06;64.73;-10.83
pergroup_kmd;1;10;j12014_10;122;651;66;145;150;1;18.47;60.5;3.45
pergroup_kmd;1;10;j12014_2;122;730;73;157;150;1;61.32;112.07;-4.46
pergroup_kmd;1;10;j12014_3;122;627;63;159;180;1;13.71;46.29;13.21
pergroup_kmd;1;10;j12014_4;122;645;65;154;150;1;22.67;58.2;-2.6
pergroup_kmd;1;10;j12014_5;122;631;64;170;180;1;13.31;45.45;5.88
pergroup_kmd;1;10;j12014_6;122;652;66;163;170;1;16.33;56.32;4.29
pergroup_kmd;1;10;j12014_7;122;685;69;158;170;1;133.07;182.08;7.59
pergroup_kmd;1;10;j12014_8;122;683;69;183;180;1;133.33;181.94;-1.64
pergroup_kmd;1;10;j12014_9;122;652;66;181;180;1;62.95;94.96;-0.55
