method;k;alpha;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
baseline;3;15;j12010_1;122;667;45;202;255;1;60.21;93.47;26.24
baseline;3;15;j12010_10;122;641;43;120;210;1;60.22;92.26;75.0
baseline;3;15;j12010_2;122;647;44;165;255;1;60.23;93.74;54.55
baseline;3;15;j12010_3;122;719;48;181;240;1;60.26;103.47;32.6
baseline;3;15;j12010_4;122;679;46;178;240;1;60.21;94.8;34.83
baseline;3;15;j12010_5;122;638;43;176;255;1;60.24;93.45;44.89
baseline;3;15;j12010_6;122;635;43;163;240;1;60.27;99.3;47.24
baseline;3;15;j12010_7;122;718;48;143;195;1;60.29;95.5;36.36
baseline;3;15;j12010_8;122;717;48;206;270;1;60.56;98.27;31.07
baseline;3;15;j12010_9;122;655;44;138;225;1;60.19;89.82;63.04
baseline;3;15;j12011_1;122;632;43;308;255;1;60.28;92.34;-17.21
baseline;3;15;j12011_10;122;660;44;327;285;1;60.21;93.89;-12.84
baseline;3;15;j12011_2;122;580;39;297;255;0;240.58;271.05;-14.14
baseline;3;15;j12011_3;122;675;45;383;285;1;60.21;90.8;-25.59
baseline;3;15;j12011_4;122;666;45;351;285;1;60.18;90.08;-18.8
baseline;3;15;j12011_5;122;681;46;402;345;1;60.26;95.37;-14.18
baseline;3;15;j12011_6;122;684;46;383;300;0;221.65;259.7;-21.67
baseline;3;15;j12011_7;122;581;39;309;255;1;60.15;93.51;-17.48
baseline;3;15;j12011_8;122;651;44;297;255;1;60.21;92.39;-14.14
baseline;3;15;j12011_9;122;648;44;321;255;1;60.2;94.68;-20.56
baseline;3;15;j12012_1;122;607;41;249;255;1;60.52;97.15;2.41
baseline;3;15;j12012_10;122;704;47;230;270;1;60.62;102.54;17.39
baseline;3;15;j12012_2;122;627;42;207;225;0;120.05;158.64;8.7
baseline;3;15;j12012_3;122;647;44;256;240;0;330.47;365.75;-6.25
baseline;3;15;j12012_4;122;632;43;242;285;1;60.32;92.37;17.77
baseline;3;15;j12012_5;122;728;49;311;270;1;120.94;169.73;-13.18
baseline;3;15;j12012_6;122;662;45;238;255;1;60.67;99.14;7.14
baseline;3;15;j12012_7;122;681;46;229;240;1;60.21;105.61;4.8
baseline;3;15;j12012_8;122;689;46;221;225;1;60.2;94.96;1.81
baseline;3;15;j12012_9;122;605;41;205;195;1;60.22;88.73;-4.88
baseline;3;15;j12013_1;122;688;46;254;285;1;60.19;102.11;12.2
baseline;3;15;j12013_10;122;691;47;190;225;1;60.36;96.41;18.42
baseline;3;15;j12013_2;122;635;43;166;225;1;60.2;95.16;35.54
baseline;3;15;j12013_3;122;682;46;240;285;1;60.22;93.2;18.75
baseline;3;15;j12013_4;122;678;46;203;225;1;60.33;93.26;10.84
baseline;3;15;j12013_5;122;650;44;176;225;1;60.92;100.18;27.84
baseline;3;15;j12013_6;122;628;42;194;225;1;60.24;92.43;15.98
baseline;3;15;j12013_7;122;679;46;231;225;0;247.69;287.46;-2.6
baseline;3;15;j12013_8;122;678;46;190;225;1;60.2;100.6;18.42
baseline;3;15;j12013_9;122;622;42;173;240;1;60.56;94.86;38.73
baseline;3;15;j12014_1;122;715;48;165;210;0;121.2;159.72;27.27
baseline;3;15;j12014_10;122;651;44;151;210;1;60.42;107.33;39.07
baseline;3;15;j12014_2;122;730;49;170;255;0;243.16;300.31;50.0
baseline;3;15;j12014_3;122;627;42;171;255;1;60.18;102.59;49.12
baseline;3;15;j12014_4;122;645;43;168;240;0;244.03;292.73;42.86
baseline;3;15;j12014_5;122;631;43;189;255;1;60.58;112.33;34.92
baseline;3;15;j12014_6;122;652;44;169;240;1;60.25;101.47;42.01
baseline;3;15;j12014_7;122;685;46;179;225;0;242.61;293.67;25.7
baseline;3;15;j12014_8;122;683;46;194;225;1;242.11;289.56;15.98
baseline;3;15;j12014_9;122;652;44;183;270;1;60.2;100.04;47.54
