method;k;alpha;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
pergroup_kmd;2;15;j12010_1;122;667;45;200;195;1;125.86;153.68;-2.5
pergroup_kmd;2;15;j12010_10;122;641;43;119;135;1;7.74;29.13;13.45
pergroup_kmd;2;15;j12010_2;122;647;44;166;165;1;8.77;32.39;-0.6
pergroup_kmd;2;15;j12010_3;122;719;48;179;165;1;128.0;160.75;-7.82
pergroup_kmd;2;15;j12010_4;122;679;46;168;195;1;9.21;33.96;16.07
pergroup_kmd;2;15;j12010_5;122;638;43;172;240;1;8.51;33.54;39.53
pergroup_kmd;2;15;j12010_6;122;635;43;162;150;1;127.19;161.0;-7.41
pergroup_kmd;2;15;j12010_7;122;718;48;145;150;1;131.45;168.05;3.45
pergroup_kmd;2;15;j12010_8;122;717;48;210;240;1;370.46;423.44;14.29
pergroup_kmd;2;15;j12010_9;122;655;44;139;135;1;131.23;172.94;-2.88
pergroup_kmd;2;15;j12011_1;122;632;43;294;195;1;133.69;193.02;-33.67
pergroup_kmd;2;15;j12011_10;122;660;44;290;150;1;247.4;294.82;-48.28
pergroup_kmd;2;15;j12011_2;122;580;39;270;180;1;127.06;156.29;-33.33
pergroup_kmd;2;15;j12011_3;122;675;45;349;195;1;129.44;165.98;-44.13
pergroup_kmd;2;15;j12011_4;122;666;45;332;165;1;249.08;292.47;-50.3
pergroup_kmd;2;15;j12011_5;122;681;46;346;210;1;15.27;44.12;-39.31
pergroup_kmd;2;15;j12011_6;122;684;46;338;150;1;152.25;199.09;-55.62
pergroup_kmd;2;15;j12011_7;122;581;39;265;180;1;248.75;286.42;-32.08
pergroup_kmd;2;15;j12011_8;122;651;44;280;195;1;133.21;168.92;-30.36
pergroup_kmd;2;15;j12011_9;122;648;44;277;180;1;127.68;166.07;-35.02
pergroup_kmd;2;15;j12012_1;122;607;41;230;195;1;9.05;34.91;-15.22
pergroup_kmd;2;15;j12012_10;122;704;47;233;180;1;14.05;47.88;-22.75
pergroup_kmd;2;15;j12012_2;122;627;42;199;165;1;10.02;36.4;-17.09
pergroup_kmd;2;15;j12012_3;122;647;44;233;165;1;247.54;290.32;-29.18
pergroup_kmd;2;15;j12012_4;122;632;43;236;210;1;368.14;414.44;-11.02
pergroup_kmd;2;15;j12012_5;122;728;49;264;195;1;13.86;46.28;-26.14
pergroup_kmd;2;15;j12012_6;122;662;45;212;135;1;249.33;293.95;-36.32
pergroup_kmd;2;15;j12012_7;122;681;46;230;135;1;251.09;298.03;-41.3
pergroup_kmd;2;15;j12012_8;122;689;46;201;150;1;131.5;171.29;-25.37
pergroup_kmd;2;15;j12012_9;122;605;41;177;135;1;62.73;90.61;-23.73
pergroup_kmd;2;15;j12013_1;122;688;46;234;300;0;539.66;630.91;28.21
pergroup_kmd;2;15;j12013_10;122;691;47;180;165;1;129.0;166.16;-8.33
pergroup_kmd;2;15;j12013_2;122;635;43;161;120;1;128.47;167.12;-25.47
pergroup_kmd;2;15;j12013_3;122;682;46;209;180;1;129.78;173.41;-13.88
pergroup_kmd;2;15;j12013_4;122;678;46;197;180;1;130.85;173.18;-8.63
pergroup_kmd;2;15;j12013_5;122;650;44;171;135;1;32.63;60.7;-21.05
pergroup_kmd;2;15;j12013_6;122;628;42;180;195;1;11.77;41.95;8.33
pergroup_kmd;2;15;j12013_7;122;679;46;215;195;1;130.94;177.45;-9.3
pergroup_kmd;2;15;j12013_8;122;678;46;173;150;1;131.82;182.51;-13.29
pergroup_kmd;2;15;j12013_9;122;622;42;162;135;1;11.58;46.34;-16.67
pergroup_kmd;2;15;j12014_1;122;715;48;162;150;1;14.39;49.15;-7.41
pergroup_kmd;2;15;j12014_10;122;651;44;152;180;1;14.35;50.69;18.42
pergroup_kmd;2;15;j12014_2;122;730;49;160;150;1;130.95;182.23;-6.25
pergroup_kmd;2;15;j12014_3;122;627;42;169;210;1;10.85;41.12;24.26
pergroup_kmd;2;15;j12014_4;122;645;43;169;150;1;19.55;50.2;-11.24
pergroup_kmd;2;15;j12014_5;122;631;43;182;195;1;12.67;43.74;7.14
pergroup_kmd;2;15;j12014_6;122;652;44;165;195;1;12.44;45.18;18.18
pergroup_kmd;2;15;j12014_7;122;685;46;168;150;1;129.5;173.11;-10.71
pergroup_kmd;2;15;j12014_8;122;683;46;181;210;1;129.84;177.39;16.02
pergroup_kmd;2;15;j12014_9;122;652;44;182;180;1;302.99;348.89;-1.1
