method;k;alpha;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
baseline;2;15;j12010_1;122;667;45;200;240;1;60.2;74.24;20.0
baseline;2;15;j12010_10;122;641;43;119;210;1;60.81;77.46;76.47
baseline;2;15;j12010_2;122;647;44;166;225;1;60.22;77.44;35.54
baseline;2;15;j12010_3;122;719;48;179;240;1;60.32;81.53;34.08
baseline;2;15;j12010_4;122;679;46;168;225;1;60.34;81.58;33.93
baseline;2;15;j12010_5;122;638;43;172;285;1;60.19;77.17;65.7
baseline;2;15;j12010_6;122;635;43;162;255;1;60.14;82.03;57.41
baseline;2;15;j12010_7;122;718;48;145;195;1;60.62;83.56;34.48
baseline;2;15;j12010_8;122;717;48;210;270;1;60.72;82.27;28.57
baseline;2;15;j12010_9;122;655;44;139;195;1;60.82;83.15;40.29
baseline;2;15;j12011_1;122;632;43;294;255;1;60.33;82.71;-13.27
baseline;2;15;j12011_10;122;660;44;290;255;1;61.12;79.07;-12.07
baseline;2;15;j12011_2;122;580;39;270;255;1;60.12;75.86;-5.56
baseline;2;15;j12011_3;122;675;45;349;270;1;60.17;80.51;-22.64
baseline;2;15;j12011_4;122;666;45;332;270;1;60.96;80.51;-18.67
baseline;2;15;j12011_5;122;681;46;346;315;1;60.49;80.99;-8.96
baseline;2;15;j12011_6;122;684;46;338;270;1;60.5;82.68;-20.12
baseline;2;15;j12011_7;122;581;39;265;255;1;60.3;80.5;-3.77
baseline;2;15;j12011_8;122;651;44;280;255;0;240.79;272.37;-8.93
baseline;2;15;j12011_9;122;648;44;277;255;1;60.24;82.56;-7.94
baseline;2;15;j12012_1;122;607;41;230;240;1;60.5;80.84;4.35
baseline;2;15;j12012_10;122;704;47;233;270;1;60.47;82.72;15.88
baseline;2;15;j12012_2;122;627;42;199;225;1;60.21;80.75;13.07
baseline;2;15;j12012_3;122;647;44;233;240;1;60.18;80.98;3.0
baseline;2;15;j12012_4;122;632;43;236;300;1;60.17;80.12;27.12
baseline;2;15;j12012_5;122;728;49;264;240;1;60.32;86.51;-9.09
baseline;2;15;j12012_6;122;662;45;212;270;1;60.18;85.33;27.36
baseline;2;15;j12012_7;122;681;46;230;240;1;60.75;84.99;4.35
baseline;2;15;j12012_8;122;689;46;201;210;1;60.17;82.18;4.48
baseline;2;15;j12012_9;122;605;41;177;210;1;60.26;82.24;18.64
baseline;2;15;j12013_1;122;688;46;234;300;1;60.22;85.41;28.21
baseline;2;15;j12013_10;122;691;47;180;195;1;60.42;92.28;8.33
baseline;2;15;j12013_2;122;635;43;161;225;1;60.27;87.5;39.75
baseline;2;15;j12013_3;122;682;46;209;255;1;60.16;84.22;22.01
baseline;2;15;j12013_4;122;678;46;197;240;1;60.26;83.71;21.83
baseline;2;15;j12013_5;122;650;44;171;210;1;60.15;80.52;22.81
baseline;2;15;j12013_6;122;628;42;180;255;1;60.27;81.62;41.67
baseline;2;15;j12013_7;122;679;46;215;225;1;60.19;89.25;4.65
baseline;2;15;j12013_8;122;678;46;173;225;1;60.16;83.19;30.06
baseline;2;15;j12013_9;122;622;42;162;225;1;60.21;82.8;38.89
baseline;2;15;j12014_1;122;715;48;162;195;1;60.15;88.92;20.37
baseline;2;15;j12014_10;122;651;44;152;225;1;60.18;84.15;48.03
baseline;2;15;j12014_2;122;730;49;160;240;1;60.32;87.75;50.0
baseline;2;15;j12014_3;122;627;42;169;255;1;60.21;79.56;50.89
baseline;2;15;j12014_4;122;645;43;169;255;1;60.19;85.35;50.89
baseline;2;15;j12014_5;122;631;43;182;255;1;60.15;79.94;40.11
baseline;2;15;j12014_6;122;652;44;165;255;1;60.16;82.62;54.55
baseline;2;15;j12014_7;122;685;46;168;225;1;60.24;85.85;33.93
baseline;2;15;j12014_8;122;683;46;181;240;1;60.33;83.45;32.6
baseline;2;15;j12014_9;122;652;44;182;270;1;60.21;85.03;48.35
