method;k;alpha;instance;n_jobs;T_max;T_agg;ssgs_obj;obj;feas;rt_sec;wall_sec;gap_pct
baseline;1;10;j12010_1;122;667;67;200;260;1;60.68;76.04;30.0
baseline;1;10;j12010_10;122;641;65;116;160;1;60.21;78.31;37.93
baseline;1;10;j12010_2;122;647;65;166;200;1;60.42;78.3;20.48
baseline;1;10;j12010_3;122;719;72;178;230;1;60.17;82.95;29.21
baseline;1;10;j12010_4;122;679;68;173;200;1;60.25;82.26;15.61
baseline;1;10;j12010_5;122;638;64;171;240;1;60.13;78.34;40.35
baseline;1;10;j12010_6;122;635;64;165;210;1;60.11;81.94;27.27
baseline;1;10;j12010_7;122;718;72;138;170;1;60.17;87.6;23.19
baseline;1;10;j12010_8;122;717;72;201;250;1;60.18;84.0;24.38
baseline;1;10;j12010_9;122;655;66;134;180;1;60.16;84.34;34.33
baseline;1;10;j12011_1;122;632;64;241;240;1;60.16;82.83;-0.41
baseline;1;10;j12011_10;122;660;66;262;240;1;60.16;80.35;-8.4
baseline;1;10;j12011_2;122;580;58;240;240;1;60.13;77.99;0.0
baseline;1;10;j12011_3;122;675;68;307;270;1;60.17;81.93;-12.05
baseline;1;10;j12011_4;122;666;67;291;270;1;60.12;79.54;-7.22
baseline;1;10;j12011_5;122;681;69;320;280;1;60.59;83.63;-12.5
baseline;1;10;j12011_6;122;684;69;307;280;1;61.07;85.46;-8.79
baseline;1;10;j12011_7;122;581;59;234;230;1;60.23;82.09;-1.71
baseline;1;10;j12011_8;122;651;66;249;260;1;181.12;208.12;4.42
baseline;1;10;j12011_9;122;648;65;250;230;1;60.13;83.52;-8.0
baseline;1;10;j12012_1;122;607;61;203;220;1;60.19;79.49;8.37
baseline;1;10;j12012_10;122;704;71;205;210;1;60.19;83.79;2.44
baseline;1;10;j12012_2;122;627;63;182;200;1;60.11;82.55;9.89
baseline;1;10;j12012_3;122;647;65;217;220;1;60.22;81.6;1.38
baseline;1;10;j12012_4;122;632;64;226;240;1;60.14;84.73;6.19
baseline;1;10;j12012_5;122;728;73;251;240;1;60.19;86.57;-4.38
baseline;1;10;j12012_6;122;662;67;200;200;1;60.14;89.13;0.0
baseline;1;10;j12012_7;122;681;69;196;220;1;60.17;84.25;12.24
baseline;1;10;j12012_8;122;689;69;195;190;1;60.19;84.99;-2.56
baseline;1;10;j12012_9;122;605;61;172;180;1;60.27;84.74;4.65
baseline;1;10;j12013_1;122;688;69;233;280;1;60.39;92.22;20.17
baseline;1;10;j12013_10;122;691;70;153;200;1;121.02;153.84;30.72
baseline;1;10;j12013_2;122;635;64;145;190;1;60.16;86.26;31.03
baseline;1;10;j12013_3;122;682;69;204;240;1;60.44;86.79;17.65
baseline;1;10;j12013_4;122;678;68;186;210;1;60.16;86.01;12.9
baseline;1;10;j12013_5;122;650;65;157;170;1;60.17;82.95;8.28
baseline;1;10;j12013_6;122;628;63;170;180;1;60.14;89.84;5.88
baseline;1;10;j12013_7;122;679;68;200;220;1;60.49;91.44;10.0
baseline;1;10;j12013_8;122;678;68;173;220;1;60.19;85.32;27.17
baseline;1;10;j12013_9;122;622;63;149;190;1;60.19;86.6;27.52
baseline;1;10;j12014_1;122;715;72;157;180;1;60.31;94.37;14.65
baseline;1;10;j12014_10;122;651;66;145;210;1;60.14;86.49;44.83
baseline;1;10;j12014_2;122;730;73;157;200;1;60.42;86.14;27.39
baseline;1;10;j12014_3;122;627;63;159;230;1;60.17;86.34;44.65
baseline;1;10;j12014_4;122;645;65;154;210;1;60.26;82.56;36.36
baseline;1;10;j12014_5;122;631;64;170;220;1;60.15;83.65;29.41
baseline;1;10;j12014_6;122;652;66;163;220;1;60.16;86.26;34.97
baseline;1;10;j12014_7;122;685;69;158;210;1;60.48;85.68;32.91
baseline;1;10;j12014_8;122;683;69;183;250;1;60.15;90.43;36.61
baseline;1;10;j12014_9;122;652;66;181;230;1;60.17;84.92;27.07
